GeneratorName=FCCS 4.0,GeneratorVersion=3.0.0,DateCreated=04/12/2024
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,shrubs_needledrape_loading,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
5021,FB_5021_R6.xml,237,330.000000,4.942154,9.015139,0.618634,0.000000,0.000000,0.000000,3.652354,0.000000,1.132265,0.000000,80.000000,0.000000,0.000000,0.100000,0.000000,90.000000,0.000000,0.300000,1.000000,1.200000,0.400000,0.500000,0.000000,0.400000,0.300000,0.000000,0.371098,0.086275,0.000000,0.800000,1.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.100000,0.090000,0.100000,0.160000,0.000000,0.000000,0.000000,28.506824,13,13
5022,FB_5022_R6.xml,237,330.000000,4.942154,10.664358,0.857972,0.000000,1.690348,0.000000,0.000000,0.000000,0.942545,0.000000,60.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.500000,1.100000,2.000000,1.000000,0.600000,0.000000,0.900000,0.800000,0.000000,0.000000,0.150088,0.000000,0.600000,1.207500,0.000000,0.000000,0.000000,0.000000,0.006695,0.000000,3.000000,0.200000,0.360000,0.200000,1.120000,0.000000,0.000000,0.000000,31.751314,13,13
5023,FB_5023_R6.xml,237,330.000000,4.942154,6.190006,0.155256,0.000000,0.000000,0.000000,3.652354,0.000000,0.564316,0.000000,80.000000,0.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.100000,0.200000,0.900000,0.400000,1.200000,0.000000,0.400000,0.300000,0.000000,1.496608,0.000000,0.000000,0.500000,0.841500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.100000,0.090000,0.100000,0.160000,0.000000,0.000000,0.000000,23.295588,13,13
5024,FB_5024_R6.xml,237,330.000000,17.451223,1.184929,0.004932,0.000000,19.504087,0.000000,1.879645,2.944082,0.000000,0.000000,0.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.100000,0.300000,1.800000,2.500000,1.500000,1.500000,0.700000,0.500000,0.500000,0.000000,0.000000,0.000000,0.200000,0.345000,0.000000,0.000000,0.000000,0.000000,0.046188,0.000000,3.000000,0.100000,0.090000,0.100000,0.160000,0.000000,0.000000,0.000000,38.105999,13,13
5025,FB_5025_R6.xml,237,330.000000,8.199828,5.538452,0.004932,0.000000,0.000000,0.000000,7.214411,3.007820,0.564316,0.000000,80.000000,0.000000,0.000000,0.120000,0.000000,90.000000,0.000000,0.200000,0.200000,1.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,1.099549,0.051050,0.000000,0.200000,0.287500,0.000000,0.000000,0.000000,0.000000,0.014330,0.000000,3.000000,0.100000,0.090000,0.100000,0.160000,0.000000,0.000000,0.000000,31.152639,13,13
5026,FB_5026_R6.xml,237,330.000000,8.199828,5.538452,0.004932,0.000000,0.000000,0.000000,7.214411,3.007820,1.132265,0.000000,80.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,3.000000,1.000000,1.200000,0.400000,0.500000,0.000000,0.400000,0.300000,0.000000,1.030827,0.000000,0.000000,1.000000,2.731250,0.000000,0.000000,0.000000,0.000000,0.014330,0.000000,3.000000,0.200000,3.420000,0.300000,2.280000,0.573536,0.000000,0.000000,45.516823,13,13
5027,FB_5027_R6.xml,237,330.000000,26.848032,0.000000,0.009864,0.803330,110.651619,2.808391,7.214411,5.013034,1.132265,0.000000,80.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,1.000000,1.700000,3.500000,10.900001,8.900001,2.800000,1.600000,3.100000,0.500000,0.000000,0.000000,0.000000,1.200000,3.105000,0.000000,0.000000,0.000000,0.000000,0.143689,0.000000,3.000000,0.200000,2.160000,0.300000,2.160000,0.000000,0.000000,0.000000,87.189629,13,13
5028,FB_5028_R6.xml,237,330.000000,31.194401,0.000000,0.000000,0.000000,96.221870,0.000000,5.100158,3.007820,1.132265,0.000000,80.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.500000,1.500000,3.100000,3.900000,5.800000,0.500000,1.600000,2.800000,0.300000,0.000000,0.000000,0.000000,1.200000,3.105000,0.000000,0.000000,0.000000,0.000000,0.420434,0.000000,3.000000,0.200000,0.360000,0.300000,2.400000,0.000000,0.000000,0.000000,71.320084,13,13
5029,FB_5029_R6.xml,237,330.000000,26.848032,1.846151,0.004932,0.000000,33.551731,0.000000,9.398226,3.007820,1.132265,0.000000,80.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.500000,1.600000,2.800000,3.000000,2.000000,2.000000,1.500000,1.000000,1.000000,0.000000,0.000000,0.000000,1.200000,3.105000,0.000000,0.000000,0.000000,0.000000,0.071578,0.000000,3.000000,0.100000,0.090000,0.100000,0.160000,0.000000,0.000000,0.000000,65.664001,13,13
5030,FB_5030_R6.xml,237,330.000000,10.739211,9.011717,0.004932,0.000000,16.753078,0.000000,0.000000,3.007820,1.132265,0.000000,80.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.500000,1.200000,1.500000,0.700000,1.200000,0.500000,0.500000,0.600000,0.000000,0.000000,0.248105,0.000000,1.000000,2.587500,0.000000,0.000000,0.000000,0.000000,0.027495,0.000000,3.000000,0.200000,3.420000,0.300000,2.280000,0.408327,0.000000,0.000000,44.167377,13,13
5031,FB_5031_R6.xml,237,330.000000,8.199828,5.538452,0.004932,0.000000,0.000000,0.000000,1.217451,3.007820,0.564316,0.000000,80.000000,0.000000,0.000000,0.120000,0.000000,90.000000,0.000000,0.100000,0.200000,1.800000,0.800000,0.500000,0.000000,0.300000,0.500000,0.000000,0.897965,0.000000,0.000000,0.500000,0.718750,0.000000,0.000000,0.000000,0.000000,0.014330,0.000000,3.000000,0.100000,0.090000,0.100000,0.160000,0.000000,0.000000,0.000000,26.835880,13,13
5032,FB_5032_R6.xml,237,330.000000,8.199828,5.538452,0.004932,0.000000,0.000000,0.000000,0.000000,3.007820,1.132265,0.000000,80.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.500000,0.600000,2.000000,1.500000,2.500000,0.500000,1.000000,1.000000,0.500000,0.897965,1.000589,0.000000,0.800000,1.955000,0.000000,0.000000,0.000000,0.000000,0.014330,0.000000,3.000000,0.200000,3.420000,0.300000,2.280000,0.000000,0.000000,0.000000,41.253216,13,13
