Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5002_112,PP (hot)|15-40yr|PCT,0.431034,0.855,0.15,0.705963,0.1,0.125,0.9375,2.125,2.295,0.3375,0,2.565,0.8325,0,6.5895184,1.6473796,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_113,PP (hot)|15-40yr|PCT,0.431034,0.855,0.15,1.132265,0.1,0.2,1.5,3.4,1.1475,0.16875,0,3.7125,1.00125,0,6.5895184,1.6473796,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_121,PP (hot)|15-40yr|PCT,0.026953,0.1,0.05,0.281704,0.025,0.05,0.375,0.85,2.55,0.375,0,1.5,0.6,0,6.866270399999999,1.7165675999999999,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_122,PP (hot)|15-40yr|PCT,0.107813,0.1,0.05,0.564316,0.1,0.0625,0.46875,1.0625,1.9125,0.28125,0,2.1375,0.69375,0,6.8290088,1.7072522,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_123,PP (hot)|15-40yr|PCT,0.43125,0.1,0.05,1.132265,0.1,0.066,0.495,1.122,0.95625,0.140625,0,3.09375,0.834375,0,3.8419272,0.9604818,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_131,PP (hot)|15-40yr|PCT,0.001078,0.1,0.01,0.056268,0.005,0.01,0.075,0.17,1.7,0.25,0,1,0.4,0,6.5402320000000005,1.6350580000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_132,PP (hot)|15-40yr|PCT,0.107813,0.1,0.01,0.564316,0.1,0.015,0.1125,0.255,1.275,0.1875,0,1.425,0.4625,0,6.535574400000001,1.6338936000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_133,PP (hot)|15-40yr|PCT,0.43125,0.1,0.01,1.132265,0.1,0.066,0.495,1.122,0.6375,0.09375,0,2.0625,0.55625,0,1.5029912000000003,0.3757478000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_211,PP (hot)|15-40yr|PCT,0.673828,1.52,0.2,0.847836,0.075,0.5,1.875,4.25,3.4,0.5,0,2,0.8,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_212,PP (hot)|15-40yr|PCT,0.673828,1.52,0.2,0.93307,0.09375,0.375,1.40625,3.1875,2.55,0.375,0,2.85,0.925,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_213,PP (hot)|15-40yr|PCT,0.673828,1.52,0.2,1.02692,0.117188,0.1875,0.703125,1.59375,2.55,0.375,0,4.125,1.1125,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_221,PP (hot)|15-40yr|PCT,0.970312,1.52,0.2,0.564316,0.05,1,2.25,5.1,3.4,0.5,0,2,0.8,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_222,PP (hot)|15-40yr|PCT,0.970312,1.52,0.2,0.705963,0.075,0.75,1.6875,3.825,2.55,0.375,0,2.85,0.925,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_223,PP (hot)|15-40yr|PCT,0.970312,1.92,0.24,0.88334,0.1125,0.375,0.84375,1.9125,2.55,0.375,0,4.125,1.1125,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_231,PP (hot)|15-40yr|PCT,1.320703,1.52,0.2,0.281704,0.025,1.5,3,6.8,3.4,0.5,0,2,0.8,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_232,PP (hot)|15-40yr|PCT,1.320703,1.52,0.2,0.422897,0.0375,1.125,2.25,5.1,2.55,0.375,0,2.85,0.925,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_233,PP (hot)|15-40yr|PCT,1.320703,2.24,0.28,0.635111,0.05625,0.5625,1.125,2.55,2.55,0.375,0,4.125,1.1125,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_311,PP (hot)|15-40yr|PCT,0.242578,0.855,0.15,0.847836,0.075,0.15,1.125,2.55,3.06,0.45,0,1.8,0.72,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_312,PP (hot)|15-40yr|PCT,0.431034,0.855,0.15,1.061073,0.1125,0.15,1.125,2.55,2.295,0.3375,0,2.565,0.8325,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_313,PP (hot)|15-40yr|PCT,0.431034,0.855,0.15,1.132621,0.100013,0.19995,1.499625,3.39915,1.1475,0.16875,0,3.7125,1.00125,0,6.3190264,1.5797566,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_321,PP (hot)|15-40yr|PCT,0.107813,0.38,0.1,0.564316,0.05,0.1,0.75,1.7,2.72,0.4,0,1.6,0.64,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_322,PP (hot)|15-40yr|PCT,0.43125,0.38,0.1,0.847836,0.075,0.1,0.75,1.7,2.04,0.3,0,2.28,0.74,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_323,PP (hot)|15-40yr|PCT,0.43125,0.38,0.1,1.13198,0.099975,0.066,0.495,1.122,1.02,0.15,0,3.3,0.89,0,5.4773816,1.3693454,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_331,PP (hot)|15-40yr|PCT,0.026953,0.1,0.05,0.281704,0.025,0.05,0.375,0.85,1.87,0.275,0,1.1,0.44,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_332,PP (hot)|15-40yr|PCT,0.43125,0.1,0.05,0.422897,0.0375,0.05,0.375,0.85,1.4025,0.20625,0,1.5675,0.50875,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_333,PP (hot)|15-40yr|PCT,0.43125,0.1,0.05,1.132407,0.100013,0.066,0.495,1.122,0.70125,0.103125,0,2.26875,0.611875,0,2.7386904000000003,0.6846726000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_411,PP (hot)|15-40yr|PCT,0.673828,1.52,0.2,1.018384,0.1,0.3,2.25,5.1,6.8,1,0,2,0.8,0,6.451144000000001,1.6127860000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_412,PP (hot)|15-40yr|PCT,0.673828,2.0,0.25,1.12087,0.11,0.225,1.6875,3.825,5.1,0.75,0,3.7,1.05,0,6.451144000000001,1.6127860000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_413,PP (hot)|15-40yr|PCT,0.43125,2.0,0.25,1.132151,0.11,0.05625,0.421875,0.95625,2.55,0.375,0,6.25,1.425,0,6.451144000000001,1.6127860000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_421,PP (hot)|15-40yr|PCT,0.970312,1.52,0.2,0.79106,0.1,0.4,3,6.8,8.5,6.5,7.5,2,0.8,0,4.5030464,1.1257616,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_422,PP (hot)|15-40yr|PCT,0.970312,2.4,0.3,1.029766,0.12,0.3,2.25,5.1,6.375,4.875,5.625,4.125,2.425,1.875,4.5030464,1.1257616,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_423,PP (hot)|15-40yr|PCT,0.545801,2.4,0.3,1.341042,0.12,0.075,0.5625,1.275,3.1875,2.4375,2.8125,7.3125,4.8625,4.6875,4.5030464,1.1257616,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_431,PP (hot)|15-40yr|PCT,1.725,1.52,0.2,0.564316,0.1,0.6,4.5,10.200001,13.6,6.5,7.5,2,0.8,0,2.5549504,0.6387376,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_432,PP (hot)|15-40yr|PCT,1.725,3.2,0.4,0.847836,0.15,0.45,3.375,7.650001,10.200001,4.875,5.625,5.4,2.425,1.875,2.5549504,0.6387376,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_433,PP (hot)|15-40yr|PCT,0.970312,3.2,0.4,1.274819,0.15,0.1125,0.84375,1.9125,5.1,2.4375,2.8125,10.500001,4.8625,4.6875,2.5549504,0.6387376,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_511,PP (hot)|15-40yr|PCT,0.43125,1.52,0.2,1.132265,0.1,0.2,1.5,3.4,3.4,0.5,0,2,0.8,0,7.4251912,1.8562978,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_512,PP (hot)|15-40yr|PCT,0.521812,1.52,0.2,1.132265,0.1,0.22,1.65,3.74,3.4,0.5,0,2,0.8,0,7.4251912,1.8562978,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_513,PP (hot)|15-40yr|PCT,0.431164,1.52,0.2,1.132265,0.1,0.242,1.815,4.114,2.55,0.375,0,2.85,0.925,0,6.4836112,1.6209028,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_521,PP (hot)|15-40yr|PCT,0.43125,1.52,0.2,1.132265,0.1,0.2,1.5,3.4,3.4,0.5,0,2,0.8,0,7.425192,1.856298,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_522,PP (hot)|15-40yr|PCT,0.970312,1.52,0.2,1.132265,0.125,1,2,4.25,3.4,0.5,0,2,0.8,0,7.425192,1.856298,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_523,PP (hot)|15-40yr|PCT,0.431681,1.76,0.22,1.132265,0.125,1.25,2.5,5.3125,4.25,4,4,2.85,0.925,0,4.4381104,1.1095276,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_531,PP (hot)|15-40yr|PCT,0.43125,1.52,0.2,1.132265,0.1,0.2,1.5,3.4,3.4,0.5,0,2,0.8,0,7.4251912,1.8562978,User Supplied,User Supplied,User Supplied,User Supplied
