Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5057,PP (warm)|80-150yr,2.058000,1.12,0.200000,0.927454,0.2,0.500000,1.100000,1.500000,0.900000,0.600000,0.500000,0.900000,0.800000,0.000000,10.9581968,2.7395492,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5058,PP (warm)|80-150yr|Low density|Shrub,2.646000,1.536,0.200000,1.90909,0.1,0.500000,1.100000,1.500000,0.900000,0.600000,0.500000,0.900000,0.800000,0.000000,16.342781600000002,4.0856954000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5059,PP (warm)|150+yr|SC-Rx,0.662500,0.16,0.100000,0.0,0.1,0.400000,0.400000,1.800000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,10.9945696,2.7486424,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5060,PP (warm)|150+yr|SC-Pile,1.908000,2.28,0.300000,0.0,0.1,0.500000,0.500000,1.800000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,10.9945696,2.7486424,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5061,PP (warm)|150+yr|SC,2.265750,2.28,0.300000,0.0,0.1,0.500000,0.600000,2.000000,0.700000,1.200000,0.000000,1.000000,1.500000,0.000000,10.9945696,2.7486424,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5062,PP (warm)|150+yr|I&D,2.646000,2.16,0.300000,0.461272,0.1,1.000000,1.700000,3.500000,10.900001,8.900001,2.800000,1.600000,3.100000,0.500000,22.1289808,5.5322452,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5063,PP (warm)|150+yr|SC-PB,0.795000,0.48,0.100000,0.0,0.1,0.400000,0.400000,1.800000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,10.9945696,2.7486424,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5064,PP (warm)|150+yr|High density,4.500000,2.4,0.300000,0.0,0.05,0.500000,1.500000,3.100000,3.900000,5.800000,0.500000,1.600000,2.800000,0.300000,25.706558400000002,6.426639600000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5065,PP (warm)|150+yr|Low density|Shrub,0.750000,0.16,0.100000,0.890545,0.1,0.400000,0.400000,1.800000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,22.959292,5.739823,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5066,PP (cOR)|0-15yr|CC-Rx or WF-Salv|Medium density,0.123600,0.48,0.200000,5.355803,0.25,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,1.600000,0.000000,0.000000,1.3027048,0.3256762,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5067,PP (cOR)|0-15yr|CC-Rx or WF-Salv|High density,0.123600,0.48,0.200000,5.355803,0.25,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,1.600000,0.000000,0.000000,1.3200824,0.3300206,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5068,PP (cOR)|0-15yr|CC-Rx or WF-Salv|Low density|Grass,0.237000,0.16,0.100000,0.892634,0.2,0.200000,0.400000,1.800000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.3044576,0.3261144,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5069,PP (cOR)|0-15yr|CC-Rx or WF-Salv|Low density|Shrub,0.123600,0.16,0.100000,5.355803,0.25,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,1.600000,0.000000,0.000000,1.2908888,0.3227222,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5070,PP (cOR)|15-25yr|PCT-Rx,0.732000,1.12,0.200000,5.355803,0.25,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,3.5302552,0.8825638,User Supplied,User Supplied,User Supplied,User Supplied
