FB_0029_FCCS_113,Variable,FB_0165_FCCS_112,FB_0067_FCCS_111,FB_0069_FCCS_111,FB_0175_FCCS_113,FB_0175_FCCS_111,FB_0087_FCCS_113,FB_0170_FCCS_113,FB_0109_FCCS_112,FB_0125_FCCS_113,FB_0067_FCCS_112,FB_0087_FCCS_111,FB_0291_FCCS_113,FB_0291_FCCS_111,FB_0125_FCCS_112,FB_0066_FCCS_112,FB_0067_FCCS_113,FB_0046_FCCS_111,FB_0077_FCCS_112,FB_0071_FCCS_113,FB_0066_FCCS_111,FB_0029_FCCS_112,FB_0077_FCCS_111,FB_0069_FCCS_113,FB_0165_FCCS_111,FB_0170_FCCS_112,FB_0109_FCCS_111,FB_0175_FCCS_112,FB_0125_FCCS_111,FB_0029_FCCS_111,FB_0071_FCCS_112,FB_0109_FCCS_113,FB_0087_FCCS_112,FB_0071_FCCS_111,FB_0077_FCCS_113,FB_0291_FCCS_112,FB_0046_FCCS_112,FB_0170_FCCS_111,FB_0046_FCCS_113,FB_0066_FCCS_113,FB_0165_FCCS_113,FB_0069_FCCS_112
12,eCANOPY_TREES_OVERSTORY_STEM_DENSITY,15,15.3,32.4,0,0.0,3500,60,45,75,17,3150.0,100,90.0,75,0,17,0.0,15,106,0.0,12,13.5,36,13.5,60,40.5,0,67.5,10.8,106,45,3500,95.4,15,100,0,54.0,0,0,15,36
40,eCANOPY_TREES_TOTAL_PERCENT_COVER,5,45.0,1.8,0,0.0,80,20,85,85,50,72.0,60,54.0,85,0,50,0.0,84,25,0.0,40,75.60000000000001,2,4.5,20,76.5,0,76.5,36.0,25,85,80,22.5,84,60,0,18.0,0,0,5,2
0,eCANOPY_TREES_UNDERSTORY_DIAMETER_AT_BREAST_HEIGHT,0,0,0.4,0,0,0.5,0,1.7,2,0,0.5,1,1,2,0,0,0,5,0,0,0,5,0.4,0,0,1.7,0,2,0,0,1.7,0.5,0,5,1,0,0,0,0,0,0.4
0,eCANOPY_TREES_UNDERSTORY_HEIGHT,0,0,0.9,0,0,1.5,3,10,15,0,1.5,5,5,15,0,0,0,27.5,0,0,0,27.5,0.9,0,3,10,0,15,0,0,10,1.5,0,27.5,5,0,3,0,0,0,0.9
0,eCANOPY_TREES_UNDERSTORY_HEIGHT_TO_LIVE_CROWN,0,0,0.1,0,0,0,1,2,4,0,0,2,2,4,0,0,0,12,0,0,0,12,0.1,0,1,2,0,4,0,0,2,0,0,12,2,0,1,0,0,0,0.1
0,eCANOPY_TREES_UNDERSTORY_PERCENT_COVER,0,0.0,0.8,0,0.0,3,3,30,20,0,2.4000000000000004,5,4.0,20,0,0,0.0,40,0,0.0,0,32.0,1,0.0,3,24.0,0,16.0,0.0,0,30,3,0.0,40,5,0,2.4000000000000004,0,0,0,1
0,eCANOPY_TREES_UNDERSTORY_STEM_DENSITY,0,0.0,86.4,0,0.0,1000,40,1000,300,0,800.0,25,20.0,300,0,0,0.0,700,0,0.0,0,560.0,108,0.0,40,800.0,0,240.0,0.0,0,1000,1000,0.0,700,25,0,32.0,0,0,0,108
12,eCHANGE_AGENT,8,2,2,18,18,18,18,2,18,2,18,2,2,18,18,2,18,6,18,18,12,6,2,8,18,2,18,18,12,18,2,18,18,6,2,18,18,18,18,8,2
2,eCONDITION_CLASS,1,2,2,1,1,1,1,2,0,2,1,2,2,0,1,2,2,2,2,1,2,2,2,1,1,2,1,0,2,2,2,1,2,2,2,2,1,2,1,1,2
113,eCOVER_TYPE,66,118,145,283,283,109,74,34,51,118,109,67,67,51,1,118,161,400,400,1,113,400,145,66,74,34,283,51,113,400,34,109,400,400,67,161,74,161,1,66,145
2003-09-17,eDATE_COLLECTED,2003-09-17,Sep 9,Aug 27,2003-09-17,2003-09-17,Sep 9,Sep 20,2003-09-17,Sep 9,Sep 9,Sep 9,2003-09-17,2003-09-17,Sep 9,2003-09-17,Sep 9,2003-09-17,Sep 9,2003-09-17,2003-09-17,2003-09-17,Sep 9,Aug 27,2003-09-17,Sep 20,2003-09-17,2003-09-17,Sep 9,2003-09-17,2003-09-17,2003-09-17,Sep 9,2003-09-17,Sep 9,2003-09-17,2003-09-17,Sep 20,2003-09-17,2003-09-17,2003-09-17,Aug 27
310,eECOREGION,230,340,260,220,220,130,230,210,220,340,130,230,230,220,250,340,260,420,420,250,310,420,260,230,230,210,220,220,310,420,210,130,420,420,230,260,230,260,250,230,260
0,eFILE_OWNER_EMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eFUELBED_CONFIDENCE,2,0,0,2,2,0,0,2,0,0,0,3,3,0,1,0,3,0,4,1,3,0,0,2,0,2,2,0,3,4,2,0,4,0,3,3,0,3,1,2,0
